site;lat;lon
Taoudeni;22.607.245.360.921.400;-403.300.697.598.834
Teghaza;22.881370746534337, -4.626906920175355;
Ijil;22.51707573678919, -12.597962033674177;
Awlil;17.685185492212376, -16.028886956489966;
Daboya;9.527284269866163, -1.3832044933271137;
Bornu;12.792134937099927, 12.937518418322115;
